episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
120,1.0,0.09787886467232276,1.0446773542341792,131.70850169817135,18.658225255933687,0.7665172065933328,[18.658225255933687 0.7665172065933328],0.0,False,True,0.42105161129753305,1,33.2752652951703,601.473,prepare,0.0,0
120,2.0,0.0978847579484621,1.0445381391241106,131.73752397506223,-30.0,0.9482645128071325,[-30.0 0.9482645128071325],5.001,False,True,0.42073080791072537,1,33.2752652951703,601.57,in_progress,0.0,0
120,3.0,0.09415290341450716,1.0545939635084172,130.9598390294169,-30.0,0.5,[-30.0 0.5],5.001,False,True,0.4506053554229143,1,33.2752652951703,601.638,in_progress,0.0,0
120,4.0,0.09108514618478729,1.076921989079646,127.91795870073864,-30.0,0.7521301924081595,[-30.0 0.7521301924081595],5.001,False,True,0.5063602404534503,1,33.2752652951703,601.701,in_progress,0.0,0
120,5.0,0.08922017029259637,1.1093007110512345,123.50875327800158,20.682934176648978,0.8561902826476266,[20.682934176648978 0.8561902826476266],5.001,False,True,0.5819749202597082,1,33.2752652951703,601.775,in_progress,0.0,0
120,6.0,0.08066181139658053,1.158765919744236,118.82386822560113,-23.56820793837188,1.0,[-23.56820793837188 1.0],5.001,False,True,0.7090656135904755,2,33.2752652951703,601.812,in_progress,0.0,0
120,7.0,0.07507972329915007,1.1731114350983347,118.40284360537485,19.978418264547543,0.6956114613634428,[19.978418264547543 0.6956114613634428],5.001,False,True,0.7522078349849802,2,33.2752652951703,601.907,in_progress,0.0,0
120,8.0,0.051080451242364815,1.236285528501325,116.437613459279,30.0,0.5311198581888644,[30.0 0.5311198581888644],5.001,False,True,0.9410139230039672,2,33.2752652951703,601.94,in_progress,0.0,0
120,9.0,0.03800556563391004,1.2554934689045862,117.18357813880093,-2.516155549924207,0.5,[-2.516155549924207 0.5],5.001,False,True,1.010132932472001,2,33.2752652951703,602.033,in_progress,0.0,0
120,10.0,0.011894751224434383,1.2979363410556064,118.1145358741455,30.0,0.8402258183943421,[30.0 0.8402258183943421],5.001,False,True,1.157226089547388,3,33.2752652951703,602.095,in_progress,0.0,0
120,11.0,-0.009850696280544004,1.3297243414054574,119.1405222169585,30.0,0.648706305377714,[30.0 0.648706305377714],5.001,False,True,1.2718314370286465,3,33.2752652951703,602.153,in_progress,0.0,0
120,12.0,-0.04340297640061159,1.3562130248346078,122.94486600942543,30.0,0.5,[30.0 0.5],5.001,False,True,1.402473391043239,3,33.2752652951703,602.234,in_progress,0.0,0
120,13.0,-0.08883937672108796,1.3806566201525392,128.74578387559524,21.576054041213034,0.6839648082621343,[21.576054041213034 0.6839648082621343],5.001,False,True,1.5481780508609295,3,33.2752652951703,602.306,in_progress,0.0,0
120,14.0,-0.1377066036021606,1.4043277776627392,134.07248073688862,-19.959694666755272,1.0,[-19.959694666755272 1.0],5.001,False,True,1.699012197980015,3,33.2752652951703,602.339,in_progress,0.0,0
120,15.0,-0.1587036326586747,1.4162953446175206,135.8906015131649,-10.86537437516387,0.9806573180052742,[-10.86537437516387 0.9806573180052742],5.001,False,True,1.7678517502356235,4,33.2752652951703,602.427,in_progress,0.0,0
120,16.0,-0.21298855666037086,1.4708965900432442,135.4849339754451,-30.0,0.7938555407895664,[-30.0 0.7938555407895664],5.001,False,True,1.9988975882785351,4,33.2752652951703,602.508,in_progress,0.0,0
120,17.0,-0.24968102558413396,1.5265138102465388,132.40432331575968,-8.412115357331363,0.9254920503212846,[-8.412115357331363 0.9254920503212846],5.001,False,True,2.1970352836082254,4,33.2752652951703,602.538,in_progress,0.0,0
120,18.0,-0.264870355655224,1.5535939937961567,130.69365662274495,30.0,0.6805830629123396,[30.0 0.6805830629123396],5.001,False,True,2.2885951618041136,4,33.2752652951703,602.639,in_progress,0.0,0
120,19.0,-0.31513231780709633,1.623667606399998,128.9689941909314,30.0,0.5,[30.0 0.5],5.001,False,True,2.5463541981179696,4,33.2752652951703,602.671,in_progress,0.0,0
120,20.0,-0.3297758282971691,1.6422145894325384,128.91447953377823,-4.474112245498311,0.7330005962890894,[-4.474112245498311 0.7330005962890894],5.001,False,True,2.61725200776461,4,33.2752652951703,602.779,in_progress,0.0,0
120,21.0,-0.37976242119876097,1.7138826998464782,127.4869392870927,18.208274351288537,0.9099579525611454,[18.208274351288537 0.9099579525611454],5.001,False,True,2.878044455473574,5,33.2752652951703,602.813,in_progress,0.0,0
120,22.0,-0.3934262385948428,1.7353301772794252,126.88154628824782,30.0,0.6809781682328779,[30.0 0.6809781682328779],5.001,False,True,2.953504813212855,5,33.2752652951703,602.913,in_progress,0.0,0
120,23.0,-0.4486069568054004,1.7871433880838337,129.8339251007827,13.392354298206605,0.8472915103741958,[13.392354298206605 0.8472915103741958],5.001,False,True,3.180219933353835,5,33.2752652951703,602.945,in_progress,0.0,0
120,24.0,-0.4677065312985766,1.8007453712313053,131.31220096562757,-7.225682442547349,0.9222493708424637,[-7.225682442547349 0.9222493708424637],5.001,False,True,3.2488881739790783,5,33.2752652951703,603.045,in_progress,0.0,0
120,25.0,-0.5204336658836414,1.8616651728183258,130.9533949098147,-30.0,0.8943138975233964,[-30.0 0.8943138975233964],5.001,False,True,3.490999394097434,5,33.2752652951703,603.077,in_progress,0.0,0
120,26.0,-0.5361960241921447,1.88584663577692,130.0297024040594,-30.0,0.9147206251729983,[-30.0 0.9147206251729983],5.001,False,True,3.57679912252485,5,33.2752652951703,603.153,in_progress,0.0,0
120,27.0,-0.5710828930420779,1.9652332093732745,124.69653088787291,-30.0,1.0,[-30.0 1.0],5.001,False,True,3.8248546150460543,6,33.2752652951703,603.233,in_progress,0.0,0
120,28.0,-0.5901367602431813,2.027217571884552,120.18559475763925,22.66835451004649,1.0,[22.66835451004649 1.0],5.001,False,True,4.002211543721754,6,33.2752652951703,603.307,in_progress,0.0,0
120,29.0,-0.6145776188469653,2.1010802798765473,116.64228185917378,30.0,0.5488923391495587,[30.0 0.5488923391495587],5.001,False,True,4.21720937232946,6,33.2752652951703,603.334,in_progress,0.0,0
120,30.0,-0.6283221680417512,2.126812932143328,116.80779441608128,14.130508237271748,0.6379428266927807,[14.130508237271748 0.6379428266927807],5.001,False,True,4.3024805052664625,6,33.2752652951703,603.449,in_progress,0.0,0
120,31.0,-0.6946674432309297,2.19769767274373,122.74024490325097,30.0,0.546604633503781,[30.0 0.546604633503781],5.001,False,True,4.594149254654386,7,33.2752652951703,603.485,in_progress,0.0,0
120,32.0,-0.7127913739473819,2.2134870019210418,124.457836807181,-30.0,0.6201158005579704,[-30.0 0.6201158005579704],5.001,False,True,4.665786434997032,7,33.2752652951703,603.568,in_progress,0.0,0
120,33.0,-0.7527072186899477,2.259938864745611,125.91763008074237,-30.0,0.5,[-30.0 0.5],5.001,False,True,4.849822960018255,7,33.2752652951703,603.643,in_progress,0.0,0
120,34.0,-0.7723834764430494,2.3098466579189796,122.78090771696267,1.1546062594978892,0.8294792453223039,[1.1546062594978892 0.8294792453223039],5.001,False,True,5.001536914579865,7,33.2752652951703,603.673,in_progress,0.0,0
120,35.0,-0.7800246772345721,2.3319548661218796,121.32477161661856,-30.0,0.5387413076782192,[-30.0 0.5387413076782192],5.001,False,True,5.0665022292218325,7,33.2752652951703,603.773,in_progress,0.0,0
120,36.0,-0.7964039272222858,2.3940231214265237,117.18300053464448,13.275987718837037,0.9609748645410172,[13.275987718837037 0.9609748645410172],5.001,False,True,5.238783298567684,7,33.2752652951703,603.816,in_progress,0.0,0
