episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
6,1.0,-3.34848358119828,-0.30128811477353556,-115.91503330884747,19.78803825378418,0.8528849482536316,[19.78803825378418 0.8528849482536316],0.0,False,True,0.42113540608819666,35,33.2752652951703,91.892,prepare,0.0,0
6,2.0,-3.3484250793817405,-0.3011331161152666,-115.88519143041643,29.372709274291992,0.5824111104011536,[29.372709274291992 0.5824111104011536],5.001,False,True,0.4206375738736612,35,33.2752652951703,91.962,in_progress,0.0,0
6,3.0,-3.34805787446014,-0.3086945219496915,-115.11830663236901,21.017805099487305,0.6650989055633545,[21.017805099487305 0.6650989055633545],5.001,False,True,0.4413778462865059,35,33.2752652951703,92.021,in_progress,0.0,0
6,4.0,-3.344358511869297,-0.32694731654944803,-112.36047727624711,29.473222732543945,0.6190102696418762,[29.473222732543945 0.6190102696418762],5.001,False,True,0.4883471733621303,35,33.2752652951703,92.086,in_progress,0.0,0
6,5.0,-3.3420691168906456,-0.35465200741511704,-109.23485987375074,29.424091339111328,0.8243383765220642,[29.424091339111328 0.8243383765220642],5.001,False,True,0.5632995888774028,35,33.2752652951703,92.161,in_progress,0.0,0
6,6.0,-3.3250814945548366,-0.3987604011184859,-101.93584738392354,-19.776193618774414,0.5330293774604797,[-19.776193618774414 0.5330293774604797],5.001,False,True,0.6679430772548178,35,33.2752652951703,92.222,in_progress,0.0,0
6,7.0,-3.3103204478266433,-0.4416924843408674,-96.33039533552635,29.891008377075195,0.9687665700912476,[29.891008377075195 0.9687665700912476],5.001,False,True,0.7717481720866282,35,33.2752652951703,92.29,in_progress,0.0,0
6,8.0,-3.2990313482441427,-0.4924745618797113,-92.39556581838926,29.95925521850586,0.5498315691947937,[29.95925521850586 0.5498315691947937],5.001,False,True,0.9013266637571571,36,33.2752652951703,92.355,in_progress,0.0,0
6,9.0,-3.2747953040198965,-0.5381269059701799,-86.19159767253642,28.456113815307617,0.7716378569602966,[28.456113815307617 0.7716378569602966],5.001,False,True,1.0023085734357284,36,33.2752652951703,92.423,in_progress,0.0,0
6,10.0,-3.2451154923195906,-0.5827577592606636,-80.04429755112166,27.3503475189209,0.9201319813728333,[27.3503475189209 0.9201319813728333],5.001,False,True,1.094441537842511,36,33.2752652951703,92.491,in_progress,0.0,0
6,11.0,-3.206976108159335,-0.6257538007989897,-73.05078439301482,-13.624673843383789,0.814950168132782,[-13.624673843383789 0.814950168132782],5.001,False,True,1.1726906977164775,36,33.2752652951703,92.55,in_progress,0.0,0
6,12.0,-3.180349849338758,-0.6698904355215844,-70.13581459135897,28.613893508911133,0.6319941282272339,[28.613893508911133 0.6319941282272339],5.001,False,True,1.2668029835780303,36,33.2752652951703,92.625,in_progress,0.0,0
6,13.0,-3.1545169568743026,-0.7227500935099668,-68.61981293559737,-29.77971839904785,0.6088729500770569,[-29.77971839904785 0.6088729500770569],5.001,False,True,1.4140461078138322,36,33.2752652951703,92.686,in_progress,0.0,0
6,14.0,-3.12614433994319,-0.7701531985316072,-66.51792277249996,25.598661422729492,0.8714730143547058,[25.598661422729492 0.8714730143547058],5.001,False,True,1.5189862020888678,36,33.2752652951703,92.761,in_progress,0.0,0
6,15.0,-3.0986657992775886,-0.8160509160939157,-64.89208564713346,21.1839542388916,0.8608725070953369,[21.1839542388916 0.8608725070953369],5.001,False,True,1.620586583387723,36,33.2752652951703,92.817,in_progress,0.0,0
6,16.0,-3.0615915717093043,-0.8550800285578243,-60.94574424722504,-3.1945643424987793,0.9520834684371948,[-3.1945643424987793 0.9520834684371948],4.002000000000001,False,True,1.6929639896635373,36,33.2752652951703,92.888,in_progress,0.0,0
6,17.0,-3.01799675201036,-0.8999385914188675,-57.2887671473061,-29.567659378051758,0.789639413356781,[-29.567659378051758 0.789639413356781],4.002000000000001,False,False,1.7751463983340932,37,33.2752652951703,92.952,in_progress,0.0,0
6,18.0,-2.98051699972496,-0.9527527809231489,-56.606398819989714,-29.48476791381836,0.7760250568389893,[-29.48476791381836 0.7760250568389893],4.002000000000001,False,False,1.8860640927901517,37,33.2752652951703,93.028,in_progress,0.0,0
6,19.0,-2.9500389274771823,-1.0034127735821974,-57.16496398798663,-13.998218536376953,0.90085369348526,[-13.998218536376953 0.90085369348526],4.002000000000001,False,False,1.998054606245403,37,33.2752652951703,93.084,in_progress,0.0,0
6,20.0,-2.9244002480028466,-1.056360068286441,-58.80227237016853,-24.15443229675293,0.6032850742340088,[-24.15443229675293 0.6032850742340088],4.002000000000001,False,False,2.1214578098651127,37,33.2752652951703,93.162,in_progress,0.0,0
6,21.0,-2.905128422468742,-1.1177273135339998,-62.278753883471225,29.577423095703125,0.5827906727790833,[29.577423095703125 0.5827906727790833],4.002000000000001,True,False,2.3407297956821393,37,33.2752652951703,93.227,off_track,0.0,0
