episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
18,1.0,2.34261951355355,-1.4083794303577875,148.17521300052195,-4.024846076965332,0.9542620778083801,[-4.024846076965332 0.9542620778083801],0.0,False,True,0.4212217641366145,101,33.2752652951703,232.556,prepare,0.0,0
18,2.0,2.342905725809466,-1.408600855003087,148.2027235168725,4.768303394317627,0.9447274208068848,[4.768303394317627 0.9447274208068848],5.001,False,True,0.42013547563121145,101,33.2752652951703,232.629,in_progress,0.0,0
18,3.0,2.336338407841805,-1.4028038101414078,147.82719221502867,-19.904281616210938,0.9708983898162842,[-19.904281616210938 0.9708983898162842],5.001,False,True,0.4464568262728119,101,33.2752652951703,232.7,in_progress,0.0,0
18,4.0,2.324516277859618,-1.386339722663445,145.9897915246234,-22.88257598876953,0.7899045944213867,[-22.88257598876953 0.7899045944213867],5.001,False,True,0.505586075204667,101,33.2752652951703,232.762,in_progress,0.0,0
18,5.0,2.3082007613672983,-1.3559823234038981,142.14140963174998,-6.799552917480469,0.6236035823822021,[-6.799552917480469 0.6236035823822021],5.001,False,True,0.6020677031643995,101,33.2752652951703,232.836,in_progress,0.0,0
18,6.0,2.284645664018256,-1.325071518703391,139.79381875137392,-7.56099271774292,0.8594082593917847,[-7.56099271774292 0.8594082593917847],5.001,False,True,0.7161912485494693,101,33.2752652951703,232.896,in_progress,0.0,0
18,7.0,2.2541718778079973,-1.2907488852622047,138.24214245607357,9.181148529052734,0.5927557945251465,[9.181148529052734 0.5927557945251465],5.001,False,True,0.8527923295536199,102,33.2752652951703,232.962,in_progress,0.0,0
18,8.0,2.2192712953019615,-1.2618487336643154,138.49353044775836,13.395394325256348,0.8252432346343994,[13.395394325256348 0.8252432346343994],5.001,False,True,0.9889555626410917,102,33.2752652951703,233.039,in_progress,0.0,0
18,9.0,2.1744370862851943,-1.239503600778848,141.48679767169867,-29.87557029724121,0.5939404964447021,[-29.87557029724121 0.5939404964447021],5.001,False,True,1.1350733213431496,102,33.2752652951703,233.102,in_progress,0.0,0
18,10.0,2.1319884332721646,-1.2134333077054655,143.10937565991125,-21.603425979614258,0.8401670455932617,[-21.603425979614258 0.8401670455932617],5.001,False,True,1.2855885105391596,102,33.2752652951703,233.165,in_progress,0.0,0
18,11.0,2.1011581045496257,-1.1740347362241,140.11518761333875,-25.761981964111328,0.9513330459594727,[-25.761981964111328 0.9513330459594727],5.001,False,True,1.4350808189691588,102,33.2752652951703,233.236,in_progress,0.0,0
18,12.0,2.0734538177736255,-1.1216966267481225,134.96661796552905,-28.667572021484375,0.8746594190597534,[-28.667572021484375 0.8746594190597534],5.001,False,True,1.60593256021887,102,33.2752652951703,233.301,in_progress,0.0,0
18,13.0,2.0517952253522322,-1.061837450421496,128.8399947148046,-2.7045469284057617,0.9265658259391785,[-2.7045469284057617 0.9265658259391785],5.001,False,True,1.7803480077351774,103,33.2752652951703,233.37,in_progress,0.0,0
18,14.0,2.0267461505776256,-1.0100523656936846,125.79829112721548,-21.266592025756836,0.9547972679138184,[-21.266592025756836 0.9547972679138184],5.001,False,True,1.944449380395885,103,33.2752652951703,233.436,in_progress,0.0,0
18,15.0,1.9977524104425848,-0.950132279595886,123.20670087721388,-26.56612205505371,0.8194423317909241,[-26.56612205505371 0.8194423317909241],5.001,False,True,2.1343499321948234,103,33.2752652951703,233.499,in_progress,0.0,0
18,16.0,1.9810005287498074,-0.8949056984980038,119.53451366613109,-19.294294357299805,0.9889894723892212,[-19.294294357299805 0.9889894723892212],5.001,False,True,2.299917262008555,103,33.2752652951703,233.568,in_progress,0.0,0
18,17.0,1.968390879747942,-0.8281177582772421,114.56915115375583,-26.51990509033203,0.6818435192108154,[-26.51990509033203 0.6818435192108154],5.001,False,True,2.473754530143346,103,33.2752652951703,233.645,in_progress,0.0,0
18,18.0,1.9667831718866615,-0.759749631885823,108.42515398509725,-28.52625274658203,0.9127476215362549,[-28.52625274658203 0.9127476215362549],5.001,False,True,2.628821017328553,103,33.2752652951703,233.701,in_progress,0.0,0
18,19.0,1.9729227969187833,-0.7084706261368423,103.25562708142263,-0.9770601391792297,0.9265254139900208,[-0.9770601391792297 0.9265254139900208],5.001,False,True,2.7302524729982958,104,33.2752652951703,233.772,in_progress,0.0,0
18,20.0,1.9739097415656077,-0.6497606753622207,99.82780858809934,-24.642362594604492,0.8541722893714905,[-24.642362594604492 0.8541722893714905],5.001,False,True,2.858618749557451,104,33.2752652951703,233.834,in_progress,0.0,0
18,21.0,1.970646509941226,-0.5884746015581181,98.13331862185584,-19.37635612487793,0.5989691019058228,[-19.37635612487793 0.5989691019058228],5.001,False,True,3.001312136925882,104,33.2752652951703,233.903,in_progress,0.0,0
18,22.0,1.979585962825879,-0.532093668612448,94.13856617429305,-22.867128372192383,0.7320993542671204,[-22.867128372192383 0.7320993542671204],5.001,False,True,3.123852325498999,104,33.2752652951703,233.974,in_progress,0.0,0
18,23.0,2.0001919396294507,-0.4773681152184658,88.50147063828837,-25.358823776245117,0.7578175663948059,[-25.358823776245117 0.7578175663948059],5.001,False,True,3.2058397859501375,104,33.2752652951703,234.037,in_progress,0.0,0
18,24.0,2.022962362792045,-0.430353741681183,83.57666489187469,-10.885801315307617,0.8492509722709656,[-10.885801315307617 0.8492509722709656],4.002000000000001,False,True,3.26617134916678,104,33.2752652951703,234.096,in_progress,0.0,0
18,25.0,2.0471552790216863,-0.3861279416907708,79.1276568431911,0.1783469021320343,0.5398330092430115,[0.1783469021320343 0.5398330092430115],4.002000000000001,False,False,3.3173961202726643,104,33.2752652951703,234.165,in_progress,0.0,0
18,26.0,2.068838163251455,-0.3390422862939555,76.26230530609939,-25.563568115234375,0.5260977149009705,[-25.563568115234375 0.5260977149009705],4.002000000000001,False,False,3.380056068899928,104,33.2752652951703,234.238,in_progress,0.0,0
18,27.0,2.093857099851434,-0.2981901172011121,72.77272203316345,-9.88308048248291,0.8598511219024658,[-9.88308048248291 0.8598511219024658],4.002000000000001,False,False,3.4220474805609857,104,33.2752652951703,234.296,in_progress,0.0,0
18,28.0,2.1180539329729844,-0.2674859328313846,69.38875955319043,28.06505584716797,0.9946498870849609,[28.06505584716797 0.9946498870849609],4.002000000000001,False,False,3.442857003284916,104,33.2752652951703,234.367,in_progress,0.0,0
18,29.0,2.140935804917665,-0.2165125629019447,68.59331293099245,-19.000200271606445,0.7522519826889038,[-19.000200271606445 0.7522519826889038],4.002000000000001,False,False,3.511869385425015,104,33.2752652951703,234.43,in_progress,0.0,0
18,30.0,2.152744361721195,-0.16142224809198538,70.65691634826321,-27.596792221069336,0.7955148220062256,[-27.596792221069336 0.7955148220062256],4.002000000000001,True,False,3.6122154078141455,105,33.2752652951703,234.507,off_track,0.0,0
