episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
61,1.0,-0.8322357712354549,2.44329327944715,131.5236872760832,29.76572608947754,0.8811798095703125,[29.76572608947754 0.8811798095703125],0.0,False,True,0.42102533460249975,8,33.2752652951703,854.989,prepare,0.0,0
61,2.0,-0.8321735527604136,2.443218601857292,131.5250603185024,29.753738403320312,0.9098657369613647,[29.753738403320312 0.9098657369613647],5.001,False,True,0.42073335752210794,8,33.2752652951703,855.071,in_progress,0.0,0
61,3.0,-0.8411777680988868,2.4492826341949008,132.08942319863397,26.74439239501953,0.8708941340446472,[26.74439239501953 0.8708941340446472],5.001,False,True,0.4523161405295927,8,33.2752652951703,855.126,in_progress,0.0,0
61,4.0,-0.8613060393682793,2.456519733846784,134.49254614413042,29.626739501953125,0.8887189626693726,[29.626739501953125 0.8887189626693726],5.001,False,True,0.5087008197018641,8,33.2752652951703,855.196,in_progress,0.0,0
61,5.0,-0.8982428310236914,2.4682014639319836,138.81669990852657,29.879850387573242,0.5554278492927551,[29.879850387573242 0.5554278492927551],5.001,False,True,0.6085733712468775,8,33.2752652951703,855.259,in_progress,0.0,0
61,6.0,-0.9373725845542734,2.476267939564663,143.55866971798855,27.063045501708984,0.6604740023612976,[27.063045501708984 0.6604740023612976],5.001,False,True,0.7046809606877279,8,33.2752652951703,855.336,in_progress,0.0,0
61,7.0,-0.9901756237226759,2.4837696961059272,149.44355323523368,-29.86309051513672,0.9796810150146484,[-29.86309051513672 0.9796810150146484],5.001,False,True,0.8267594302587417,8,33.2752652951703,855.392,in_progress,0.0,0
61,8.0,-1.0273970289599543,2.4954417017574912,151.75756494809215,-26.54688262939453,0.9785704016685486,[-26.54688262939453 0.9785704016685486],5.001,False,True,0.9273420346937455,8,33.2752652951703,855.46,in_progress,0.0,0
61,9.0,-1.0650127498484803,2.5259349791062125,149.59964841084673,-28.525575637817383,0.842345118522644,[-28.525575637817383 0.842345118522644],5.001,False,True,1.070881250141663,8,33.2752652951703,855.524,in_progress,0.0,0
61,10.0,-1.0919889897174437,2.565848433757915,144.71996546654046,-29.477527618408203,0.6286895871162415,[-29.477527618408203 0.6286895871162415],5.001,False,True,1.2144365298379305,8,33.2752652951703,855.589,in_progress,0.0,0
61,11.0,-1.115284272268613,2.611703415037472,139.1688855376994,-28.110450744628906,0.9473594427108765,[-28.110450744628906 0.9473594427108765],5.001,False,True,1.3640349057951584,9,33.2752652951703,855.667,in_progress,0.0,0
61,12.0,-1.1341903665561157,2.666424199246123,132.49572704406546,29.8723201751709,0.919258713722229,[29.8723201751709 0.919258713722229],5.001,False,True,1.5248479747004189,9,33.2752652951703,855.721,in_progress,0.0,0
61,13.0,-1.153048685742124,2.708487735424954,129.00389920409293,28.862411499023438,0.9043014049530029,[28.862411499023438 0.9043014049530029],5.001,False,True,1.6570771537889093,9,33.2752652951703,855.787,in_progress,0.0,0
61,14.0,-1.197567398864848,2.749113876134388,130.93986357089076,26.863500595092773,0.908437192440033,[26.863500595092773 0.908437192440033],5.001,False,True,1.837348974062962,9,33.2752652951703,855.865,in_progress,0.0,0
61,15.0,-1.2537263761079,2.781451338544636,135.7987678938447,29.80143165588379,0.9322558045387268,[29.80143165588379 0.9322558045387268],5.001,False,True,2.02194258022322,9,33.2752652951703,855.926,in_progress,0.0,0
61,16.0,-1.3086632969453293,2.8019776213188528,141.18638550050227,29.255027770996094,0.922757625579834,[29.255027770996094 0.922757625579834],5.001,False,True,2.1775107845497397,9,33.2752652951703,855.987,in_progress,0.0,0
61,17.0,-1.3753419069464883,2.817612784316471,147.87956188930121,-29.97463607788086,0.8153221607208252,[-29.97463607788086 0.8153221607208252],5.001,False,True,2.3454387526505234,10,33.2752652951703,856.065,in_progress,0.0,0
61,18.0,-1.4362760402221142,2.8315062878594555,152.63243041091775,-29.957164764404297,0.7104108333587646,[-29.957164764404297 0.7104108333587646],5.001,False,True,2.4980108536103702,10,33.2752652951703,856.129,in_progress,0.0,0
61,19.0,-1.481479580212921,2.856904896634312,152.20749092255664,-27.59511947631836,0.6792532205581665,[-27.59511947631836 0.6792532205581665],5.001,False,True,2.6451745667299007,10,33.2752652951703,856.201,in_progress,0.0,0
