episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
11,1.0,-1.1444854030438585,-0.5803647125039172,11.83305145450249,-28.751367568969727,0.7035309076309204,[-28.751367568969727 0.7035309076309204],0.0,False,True,0.42167704754542124,63,33.2752652951703,172.296,prepare,0.0,0
11,2.0,-1.1447923689601012,-0.5804315882724285,11.833167483865422,-29.098114013671875,0.9906195402145386,[-29.098114013671875 0.9906195402145386],5.001,False,True,0.4207329340821797,63,33.2752652951703,172.366,in_progress,0.0,0
11,3.0,-1.1388997911292649,-0.5784794314222046,12.158707957262747,-21.460084915161133,0.6871526837348938,[-21.460084915161133 0.6871526837348938],5.001,False,True,0.43926822804235544,63,33.2752652951703,172.432,in_progress,0.0,0
11,4.0,-1.1193765430428657,-0.5838413887948625,9.976431869144275,-29.908655166625977,0.9928069710731506,[-29.908655166625977 0.9928069710731506],5.001,False,True,0.4933889663603974,63,33.2752652951703,172.497,in_progress,0.0,0
11,5.0,-1.0867234098855594,-0.5954603333482166,5.842304471472748,-27.918668746948242,0.515816867351532,[-27.918668746948242 0.515816867351532],5.001,False,True,0.5822736210052359,63,33.2752652951703,172.566,in_progress,0.0,0
11,6.0,-1.0529480475332753,-0.6090470822190045,1.8718218662802337,-19.02488136291504,0.7864865064620972,[-19.02488136291504 0.7864865064620972],5.001,False,True,0.6732464853861364,63,33.2752652951703,172.637,in_progress,0.0,0
11,7.0,-1.0143430170210563,-0.6233613848887125,-1.8320562415082196,-26.30809783935547,0.7867409586906433,[-26.30809783935547 0.7867409586906433],5.001,False,True,0.7779768299085443,63,33.2752652951703,172.699,in_progress,0.0,0
11,8.0,-0.9728697128710371,-0.6411387350849513,-5.683210456311838,-24.307701110839844,0.6472412943840027,[-24.307701110839844 0.6472412943840027],5.001,False,True,1.024484861604158,63,33.2752652951703,172.764,in_progress,0.0,0
11,9.0,-0.9320557778977298,-0.6608363661714887,-9.34686729828212,-25.390714645385742,0.5330843329429626,[-25.390714645385742 0.5330843329429626],5.001,False,True,1.159188698273672,63,33.2752652951703,172.827,in_progress,0.0,0
11,10.0,-0.8937491140439391,-0.679151068452258,-12.118376738083922,-24.84014320373535,0.9859551787376404,[-24.84014320373535 0.9859551787376404],5.001,False,True,1.2854631073318856,63,33.2752652951703,172.891,in_progress,0.0,0
11,11.0,-0.8520727520637172,-0.7087236210952664,-16.770146192227248,-27.666990280151367,0.9802860021591187,[-27.666990280151367 0.9802860021591187],5.001,False,True,1.431457990568552,64,33.2752652951703,172.96,in_progress,0.0,0
11,12.0,-0.8102214993056536,-0.7448542468154662,-22.05074974311766,-27.463420867919922,0.941569447517395,[-27.463420867919922 0.941569447517395],5.001,False,True,1.583809735982178,64,33.2752652951703,173.023,in_progress,0.0,0
11,13.0,-0.7691342352443246,-0.7906092529806965,-28.25378884715841,-29.298377990722656,0.5736126899719238,[-29.298377990722656 0.5736126899719238],5.001,False,True,1.9059377375765463,64,33.2752652951703,173.1,in_progress,0.0,0
11,14.0,-0.7359885054668072,-0.8349894050610971,-33.690971479082485,-28.47002410888672,0.8677944540977478,[-28.47002410888672 0.8677944540977478],5.001,False,True,2.0655933673221494,64,33.2752652951703,173.161,in_progress,0.0,0
11,15.0,-0.7117156975649884,-0.8786081371796471,-38.98429722856197,-29.874685287475586,0.6235241293907166,[-29.874685287475586 0.6235241293907166],5.001,False,True,2.202526833185403,64,33.2752652951703,173.227,in_progress,0.0,0
11,16.0,-0.6864359130843332,-0.9310401208446897,-44.68345690703409,-28.99118995666504,0.5211744904518127,[-28.99118995666504 0.5211744904518127],5.001,False,True,2.357749458750402,65,33.2752652951703,173.303,in_progress,0.0,0
